order_id,product_id,product_name,category,customer_name,city,phone_number,country_code,payment_mode,amount,quantity,order_date,email
ORD0134,PRD003,Yoga Mat,Sports,Jessica Taylor,New York,2494615905,US,PayLah,5205.87,2,13-07-2024,test@domain.co
ORD0347,PRD004,Face Serum,Beauty,Arjun Nair,Kolkata,9642032305,IN,Net Banking,9461.17,4,01-01-2024,user@gmail.com
ORD0230,PRD002,Wireless Earbuds,Electronics,Kai Xin,Singapore City,552096,SG,Debit Card,3569.35,4,15-02-2024,hello@company.com
ORD0062,PRD001,Cotton Kurti,Apparel,Pooja Reddy,Mumbai,8720915307,IN,UPI,7803.05,2,29-08-2024,test@domain.co
ORD0119,PRD003,Yoga Mat,Sports,Emily Wilson,Dallas,5301088676,US,Wallet,5384.41,3,23-04-2024,contact@yahoo.com
ORD0258,PRD004,Face Serum,Beauty,Vikram Singh,Pune,7781956456,IN,Wallet,389.31,4,23-04-2024,user@gmail.com
ORD0314,PRD010,Resistance Bands,Sports,Yong Sheng,Ang Mo Kio,88088829,SG,Wallet,403.55,4,18-07-2024,hello@company.com
ORD0105,PRD007,Laptop Bag,Accessories,Daniel Jackson,San Francisco,2222882647,US,PayLah,597.1,3,06-04-2024,test@domain.co
ORD0057,PRD005,Running Shoes,Footwear,Kai Xin,Woodlands,88199774,SG,Wallet,2743.94,5,14-01-2024,contact@yahoo.com
ORD0225,PRD010,Resistance Bands,Sports,Rohit Sharma,Chennai,7467365839,IN,PayNow,6257.62,3,02-08-2024,info@hotmail.com
ORD0135,PRD007,Laptop Bag,Accessories,Yong Sheng,Woodlands,96820821,SG,Cash,4188.92,3,14-05-2024,hello@company.com
ORD0479,PRD001,Cotton Kurti,Apparel,Emily Wilson,Los Angeles,5853420894,US,PayNow,8350.38,3,02-10-2024,hello@company.com
ORD0159,PRD001,Cotton Kurti,Apparel,Mike Davis,Phoenix,8986289355,US,Net Banking,5014.1,1,08-01-2025,user@gmail.com
ORD0358,PRD010,Resistance Bands,Sports,Sneha Gupta,Chennai,6763928648,IN,Wallet,2865.5,2,08-08-2024,info@hotmail.com
ORD0094,PRD005,Running Shoes,Footwear,Zhi Wei,Tampines,92472111,SG,Net Banking,5106.15,5,17-07-2024,user@gmail.com
ORD0484,PRD002,Wireless Earbuds,Electronics,Bao Yu,Bedok,92274798,SG,Credit Card,2254.59,1,05-02-2025,test@domain.co
ORD0012,PRD001,Cotton Kurti,Apparel,Emily Wilson,Los Angeles,6705467753,US,,6294.79,4,06-08-2024,user@gmail.com
ORD0161,PRD005,Running Shoes,Footwear,Fatima Al Zaabi,Abu Dhabi,558238846,AE,PayLah,6156.11,1,01-04-2024,test@domain.co
ORD0450,PRD008,Protein Powder,Health,Ashley Thomas,Los Angeles,7114693376,US,PayLah,2695.24,4,22-03-2025,hello@company.com
ORD0209,PRD005,Running Shoes,Footwear,Xiu Ying,Ang Mo Kio,84835850,SG,UPI,6902.61,2,16-08-2024,user@gmail.com
ORD0141,PRD010,Resistance Bands,Sports,Divya Joshi,Mumbai,6584338690,IN,PayLah,1748.71,2,17-05-2024,test@domain.co
ORD0298,PRD002,Wireless Earbuds,Electronics,Daniel Jackson,Dallas,512289,US,Credit Card,3584.47,4,10-03-2025,contact@yahoo.com
ORD0026,PRD009,Smart Watch,Electronics,Mei Ling,Bedok,85572892,SG,PayNow,1522.54,2,24-07-2024,test@domain.co
ORD0071,PRD007,Laptop Bag,Accessories,James Miller,New York,896136,US,Net Banking,7147.21,3,24-05-2024,info@hotmail.com
ORD0276,PRD003,Yoga Mat,Sports,Jun Hao,Bedok,93708701,SG,Wallet,3758.58,2,11-01-2025,info@hotmail.com
