order_id,product_id,product_name,category,customer_name,city,phone_number,country_code,payment_mode,amount,quantity,order_date,email
ORD0192,,Cotton Kurti,Apparel,Sneha Gupta,Bangalore,6886072779,IN,UPI,5172.15,1,2024-06-11,missing@
ORD0456,PRD006,Stainless Steel Bottle,Kitchen,Suresh Pillai,Bangalore,6310847929,IN,Wallet,8167.34,3,2025-01-19,test@domain.co.in
ORD0217,PRD001,Cotton Kurti,Apparel,Nikhil Rao,Pune,7608898897,IN,UPI,3477.16,2,2025-01-08,hello@company.in
ORD0183,PRD001,Cotton Kurti,Apparel,Amit Kumar,Ahmedabad,9cba11xbz1,IN,Net Banking,6837.45,2,2024-08-21,user@gmail.com
ORD0277,PRD006,Stainless Steel Bottle,Kitchen,Rahul Verma,Bangalore,9688286178,IN,UPI,399.43,5,2025-01-01,test@domain.co.in
ORD0085,PRD006,Stainless Steel Bottle,Kitchen,Meera Bhatt,Bangalore,9160422365,IN,UPI,1725.46,4,2024-08-25,info@hotmail.com
ORD0175,PRD007,Laptop Bag,Accessories,Amit Kumar,Pune,7377516028,IN,UPI,4110.74,4,2024-08-30,support@outlook.com
ORD0445,PRD008,Protein Powder,Health,Amit Kumar,Bangalore,8899569512,IN,Wallet,3018.89,2,2025-01-15,test@domain.co.in
ORD0233,PRD010,Smart Watch,Electronics,Kavya Menon,Kolkata,7980877144,IN,Debit Card,9415.58,2,2024-02-22,contact@yahoo.com
ORD0161,PRD001,Cotton Kurti,Apparel,Rahul Verma,Mumbai,6960516039,IN,Cash,4584.52,3,2024-04-08,hello@company.in
ORD0019,PRD003,Yoga Mat,Sports,Meera Bhatt,Chennai,8819887960,IN,Wallet,4282.78,2,2024-07-28,info@hotmail.com
ORD0023,PRD007,Laptop Bag,Accessories,Siddharth Roy,Bangalore,9873062386,IN,Debit Card,4715.06,2,2025-03-25,contact@yahoo.com
ORD0411,PRD005,Running Shoes,Footwear,Rahul Verma,Bangalore,7337515606,IN,Net Banking,3536.31,2,2025-03-03,user@gmail.com
ORD0440,PRD004,Face Serum,Beauty,Ananya Iyer,Delhi,7199145996,IN,Credit Card,1101.18,2,2024-08-12,support@outlook.com
ORD0022,PRD001,Cotton Kurti,Apparel,Kavya Menon,Chennai,6833240321,IN,Debit Card,9712.94,5,2024-10-21,info@hotmail.com
ORD0049,PRD005,Running Shoes,Footwear,Aisha Khan,Hyderabad,8585241657,IN,Credit Card,4533.2,4,2024-09-24,user@gmail.com
ORD0444,PRD010,Smart Watch,Electronics,Vikram Singh,Chennai,8605796708,IN,,-969.85,2,2024-04-08,support@outlook.com
ORD0176,PRD007,Laptop Bag,Accessories,Karan Mehta,Ahmedabad,6664519148,IN,Debit Card,1353.95,1,2024-10-25,test@domain.co.in
ORD0008,PRD007,Laptop Bag,Accessories,Aditya Saxena,Bangalore,9172065615,IN,Debit Card,9424.25,4,2024-01-29,contact@yahoo.com
ORD0279,PRD003,Yoga Mat,Sports,Karan Mehta,Pune,9762951429,IN,Net Banking,6149.6,4,2025-02-08,info@hotmail.com
ORD0476,PRD010,Smart Watch,Electronics,Priya Patel,Mumbai,6342653962,IN,Wallet,1931.92,3,2025-02-11,contact@yahoo.com
ORD0299,PRD010,Smart Watch,Electronics,Arjun Nair,Ahmedabad,8884680000,IN,UPI,3950.82,3,2024-01-05,hello@company.in
ORD0223,PRD009,Silk Saree,Apparel,Riya Chopra,Chennai,7533616647,IN,Debit Card,8923.7,4,2024-05-11,test@domain.co.in
ORD0186,PRD005,Running Shoes,Footwear,Divya Joshi,Bangalore,7611939904,IN,Debit Card,891.2,2,2024-12-20,test@domain.co.in
ORD0289,PRD009,Silk Saree,Apparel,Manish Tiwari,Chennai,203026,IN,Wallet,3219.97,4,2024-10-21,user@gmail.com
ORD0132,PRD003,Yoga Mat,Sports,Karan Mehta,Kolkata,9557275156,IN,Debit Card,8133.85,1,2025-03-31,user@gmail.com
ORD0311,PRD006,Stainless Steel Bottle,Kitchen,Amit Kumar,Pune,7763708321,IN,Cash,7399.32,3,2025-03-01,hello@company.in
ORD0283,PRD004,Face Serum,Beauty,Ritika Bose,Pune,7616194608,IN,Debit Card,404.21,4,2024-09-11,support@outlook.com
ORD0443,PRD009,Silk Saree,Apparel,Priya Patel,Hyderabad,7604032908,IN,Wallet,4255.18,2,2024-01-07,user@gmail.com
ORD0368,PRD002,Wireless Earbuds,Electronics,Rohit Sharma,Ahmedabad,7682450593,IN,Wallet,4764.98,4,2025-03-20,contact@yahoo.com
ORD0237,PRD005,Running Shoes,Footwear,Sana Mirza,Mumbai,,IN,Net Banking,2231.69,1,2025-02-09,contact@yahoo.com
ORD0273,PRD005,Running Shoes,Footwear,Divya Joshi,Delhi,9807580664,IN,Cash,382.93,5,2024-04-21,contact@yahoo.com
ORD0432,PRD006,Stainless Steel Bottle,Kitchen,Suresh Pillai,Hyderabad,7866807327,IN,Wallet,202.61,3,2024-08-18,info@hotmail.com
ORD0331,PRD004,Face Serum,Beauty,Ananya Iyer,Mumbai,7223980361,IN,Wallet,3760.95,3,2025-01-11,info@hotmail.com
ORD0205,PRD002,Wireless Earbuds,Electronics,Rahul Verma,Kolkata,8312160452,IN,Wallet,8960.92,4,2025-03-02,contact@yahoo.com
ORD0361,PRD004,Face Serum,Beauty,Sunita Desai,Chennai,8566206009,IN,Credit Card,2162.04,5,2025-02-05,test@domain.co.in
ORD0185,PRD010,Smart Watch,Electronics,Sana Mirza,Delhi,6387019,IN,Net Banking,6293.91,5,2024-10-29,user@gmail.com
ORD0308,PRD001,Cotton Kurti,Apparel,Neha Agarwal,Pune,7353856875,IN,Cash,8099.26,4,2024-09-26,info@hotmail.com
ORD0255,PRD001,Cotton Kurti,Apparel,Pooja Reddy,Delhi,,IN,Wallet,4703.19,1,2024-08-11,contact@yahoo.com
ORD0424,PRD009,Silk Saree,Apparel,Karan Mehta,Hyderabad,8839909360,IN,Cash,5535.13,1,2024-06-14,support@outlook.com
ORD0101,PRD002,Wireless Earbuds,Electronics,Rahul Verma,Delhi,6015173518,IN,,9528.81,3,2024-12-19,test@domain.co.in
ORD0209,PRD001,Cotton Kurti,Apparel,Riya Chopra,Bangalore,8107064965,IN,,7461.27,1,2025-03-13,info@hotmail.com
ORD0246,PRD001,Cotton Kurti,Apparel,Shreya Das,Delhi,8458206657,IN,Credit Card,7022.92,5,2024-02-18,hello@company.in
ORD0334,PRD006,Stainless Steel Bottle,Kitchen,Gaurav Malhotra,Chennai,,IN,Debit Card,4563.69,1,2024-06-28,user@gmail.com
ORD0453,PRD009,Silk Saree,Apparel,Sana Mirza,Chennai,9290639902,IN,Credit Card,5162.67,5,2024-12-21,user@gmail.com
ORD0393,PRD002,Wireless Earbuds,Electronics,Deepa Nambiar,Chennai,9403077744,IN,UPI,2195.27,5,2025-02-05,support@outlook.com
ORD0028,PRD007,Laptop Bag,Accessories,Priya Patel,Mumbai,6680824172,IN,Debit Card,5210.09,5,2025-01-21,info@hotmail.com
ORD0086,PRD006,Stainless Steel Bottle,Kitchen,Sunita Desai,Bangalore,7713441918,IN,Debit Card,5753.54,5,2024-01-25,hello@company.in
ORD0430,PRD009,Silk Saree,Apparel,Riya Chopra,Hyderabad,5559694,IN,Debit Card,8994.63,1,2024-07-28,test@domain.co.in
ORD0193,,Protein Powder,Health,Karan Mehta,Mumbai,9981567296,IN,Wallet,7468.04,4,2024-02-18,test@domain.co.in
ORD0382,PRD003,Yoga Mat,Sports,Sneha Gupta,Hyderabad,8610807999,IN,Debit Card,1987.69,5,2024-08-10,contact@yahoo.com
ORD0038,PRD010,Smart Watch,Electronics,Aarav Shah,Hyderabad,6263159619,IN,Credit Card,9024.59,2,2024-11-18,info@hotmail.com
ORD0118,PRD005,Running Shoes,Footwear,Nikhil Rao,Ahmedabad,9229721334,IN,Credit Card,5683.36,4,2024-10-02,info@hotmail.com
ORD0350,PRD003,Yoga Mat,Sports,Pooja Reddy,Ahmedabad,7565933083,IN,Debit Card,9066.16,1,2024-09-20,info@hotmail.com
ORD0463,PRD002,Wireless Earbuds,Electronics,Vivek Pandey,Mumbai,6157121115,IN,Credit Card,2440.44,4,2024-02-15,info@hotmail.com
ORD0485,,Running Shoes,Footwear,Riya Chopra,Chennai,7942571685,IN,Cash,7857.49,3,2024-02-03,missing@
ORD0397,PRD008,Protein Powder,Health,Sunita Desai,Kolkata,9721822456,IN,Net Banking,1864.49,4,2025-03-04,contact@yahoo.com
ORD0422,PRD010,Smart Watch,Electronics,Ananya Iyer,Bangalore,6879970767,IN,,-440.04,5,2024-04-07,user@gmail.com
ORD0415,PRD004,Face Serum,Beauty,Shreya Das,Pune,6707299006,IN,Credit Card,5322.14,3,2024-02-03,test@domain.co.in
ORD0190,PRD001,Cotton Kurti,Apparel,Sneha Gupta,Chennai,8597785064,IN,Credit Card,7501.64,2,2024-11-03,support@outlook.com
ORD0286,PRD002,Wireless Earbuds,Electronics,Aarav Shah,Delhi,7755425717,IN,Credit Card,2378.43,1,2024-10-27,support@outlook.com
ORD0374,PRD008,Protein Powder,Health,Vikram Singh,Bangalore,8568135626,IN,UPI,744.63,2,2024-08-21,double@@test.com
ORD0373,PRD010,Smart Watch,Electronics,Aarav Shah,Kolkata,3832681,IN,Debit Card,401.54,4,21-05-2024,info@hotmail.com
ORD0337,PRD010,Smart Watch,Electronics,Kavya Menon,Chennai,8000609148,IN,Wallet,8328.51,3,2024-02-12,notanemail
ORD0354,PRD006,Stainless Steel Bottle,Kitchen,Sneha Gupta,Bangalore,8902263856,IN,Cash,4633.99,4,2025-02-11,contact@yahoo.com
ORD0378,PRD004,Face Serum,Beauty,Shreya Das,Chennai,6687717131,IN,Debit Card,6675.38,3,2024-07-18,support@outlook.com
ORD0076,PRD002,Wireless Earbuds,Electronics,Sana Mirza,Pune,8300395218,IN,Net Banking,9577.16,3,2025-02-01,test@domain.co.in
ORD0295,PRD008,Protein Powder,Health,Priya Patel,Hyderabad,6749572251,IN,Debit Card,7511.01,1,2024-07-14,hello@company.in
ORD0002,PRD009,Silk Saree,Apparel,Deepa Nambiar,Delhi,8527189548,IN,Net Banking,-98.8,4,2025-01-04,hello@company.in
ORD0409,PRD003,Yoga Mat,Sports,Karan Mehta,Delhi,6810689335,IN,Debit Card,8293.85,4,14/02/2025,info@hotmail.com
ORD0105,PRD001,Cotton Kurti,Apparel,Riya Chopra,Pune,9407260940,IN,,2067.55,3,2024-09-11,test@domain.co.in
ORD0388,PRD008,Protein Powder,Health,Neha Agarwal,Chennai,9312310490,IN,UPI,8929.84,1,2024-12-05,hello@company.in
ORD0340,PRD009,Silk Saree,Apparel,Siddharth Roy,Bangalore,6585113008,IN,Debit Card,871.77,3,2024-07-15,contact@yahoo.com
ORD0417,PRD005,Running Shoes,Footwear,Rajesh Kulkarni,Pune,7401846466,IN,Cash,8420.63,1,2024-07-31,hello@company.in
ORD0442,PRD008,Protein Powder,Health,Sunita Desai,Chennai,6877910312,IN,Wallet,9078.09,1,2024-11-28,info@hotmail.com
ORD0376,PRD008,Protein Powder,Health,Vikram Singh,Pune,8153889368,IN,Net Banking,6981.97,4,2024-02-22,hello@company.in
ORD0319,PRD005,Running Shoes,Footwear,Manish Tiwari,Delhi,8689568740,IN,Debit Card,6580.76,4,2024-12-09,hello@company.in
ORD0184,PRD001,Cotton Kurti,Apparel,Ananya Iyer,Chennai,6245643652,IN,Credit Card,5787.28,4,2025-02-04,user@gmail.com
ORD0284,PRD003,Yoga Mat,Sports,Riya Chopra,Delhi,9195634307,IN,Wallet,3971.85,5,2024-06-28,user@gmail.com
ORD0490,PRD003,Yoga Mat,Sports,Rahul Verma,Bangalore,9332453091,IN,Debit Card,8453.45,5,2024-03-03,hello@company.in
ORD0435,PRD008,Protein Powder,Health,Neha Agarwal,Ahmedabad,7214191690,IN,Wallet,6181.91,2,2024-05-29,contact@yahoo.com
ORD0003,PRD006,Stainless Steel Bottle,Kitchen,Aditya Saxena,Kolkata,9650581304,IN,Wallet,2282.39,4,2024-12-04,contact@yahoo.com
ORD0315,PRD007,Laptop Bag,Accessories,Nikhil Rao,Kolkata,7701508277,IN,Cash,8194.68,3,2024-09-06,user@gmail.com
ORD0296,PRD004,Face Serum,Beauty,Shreya Das,Pune,6879234122,IN,,5052.02,5,2024-09-18,info@hotmail.com
ORD0242,PRD007,Laptop Bag,Accessories,Riya Chopra,Ahmedabad,6272664075,IN,Wallet,9823.58,1,2024-02-14,user@gmail.com
ORD0414,PRD007,Laptop Bag,Accessories,Arjun Nair,Mumbai,8584908,IN,UPI,2262.99,2,21-06-2024,support@outlook.com
ORD0115,PRD007,Laptop Bag,Accessories,Sunita Desai,Hyderabad,9401943272,IN,UPI,529.22,4,2025-02-15,user@gmail.com
ORD0070,PRD009,Silk Saree,Apparel,Siddharth Roy,Pune,9944865378,IN,Net Banking,-222.24,4,2024-05-12,user@gmail.com
ORD0469,PRD006,Stainless Steel Bottle,Kitchen,Kavya Menon,Delhi,6129896051,IN,Debit Card,5555.11,5,2024-04-10,info@hotmail.com
ORD0325,PRD002,Wireless Earbuds,Electronics,Sneha Gupta,Ahmedabad,6714803659,IN,Net Banking,9832.39,2,2024-08-17,test@domain.co.in
ORD0147,PRD003,Yoga Mat,Sports,Suresh Pillai,Bangalore,7642104279,IN,UPI,2721.73,3,2024-08-28,contact@yahoo.com
ORD0178,PRD010,Smart Watch,Electronics,Aarav Shah,Mumbai,8826824581,IN,Cash,3892.18,3,2024-11-01,info@hotmail.com
ORD0292,,Running Shoes,Footwear,Arjun Nair,Delhi,923565,IN,Wallet,1201.94,5,07/28/2024,contact@yahoo.com
ORD0230,PRD001,Cotton Kurti,Apparel,Divya Joshi,Bangalore,8141065894,IN,Net Banking,5056.57,3,2024-03-31,user@gmail.com
ORD0081,PRD006,Stainless Steel Bottle,Kitchen,Rajesh Kulkarni,Bangalore,8303265774,IN,Wallet,9223.65,3,2024-10-21,info@hotmail.com
ORD0459,PRD009,Silk Saree,Apparel,Sneha Gupta,Hyderabad,9891891151,IN,,2180.63,4,2024-06-25,contact@yahoo.com
ORD0129,,Wireless Earbuds,Electronics,Rajesh Kulkarni,Mumbai,690101,IN,Wallet,9525.17,2,04/16/2024,contact@yahoo.com
ORD0401,PRD006,Stainless Steel Bottle,Kitchen,Karan Mehta,Bangalore,8356933731,IN,Debit Card,1485.3,5,2025-03-13,@nodomain.com
ORD0144,PRD007,Laptop Bag,Accessories,Priya Patel,Hyderabad,6930374134,IN,,8731.7,4,2024-09-28,contact@yahoo.com
ORD0121,PRD010,Smart Watch,Electronics,Priya Patel,Delhi,7551526245,IN,Net Banking,2137.29,5,20/03/2024,info@hotmail.com
ORD0254,PRD001,Cotton Kurti,Apparel,Sunita Desai,Hyderabad,7337031886,IN,Cash,8079.22,1,2025-02-14,@nodomain.com
ORD0182,PRD009,Silk Saree,Apparel,Arjun Nair,Mumbai,8599489270,IN,UPI,3490.25,2,2024-07-02,test@domain.co.in
ORD0487,PRD002,Wireless Earbuds,Electronics,Manish Tiwari,Delhi,8947838623,IN,Wallet,3065.33,1,2024-01-15,contact@yahoo.com
ORD0380,PRD007,Laptop Bag,Accessories,Sana Mirza,Bangalore,6176384060,IN,Credit Card,2939.49,2,2024-08-01,test@domain.co.in
ORD0494,PRD006,Stainless Steel Bottle,Kitchen,Aarav Shah,Ahmedabad,6281313029,IN,UPI,8654.99,3,2024-09-18,spaces in@email.com
ORD0053,PRD003,Yoga Mat,Sports,Riya Chopra,Kolkata,,IN,Credit Card,4347.99,5,2024-10-23,user@gmail.com
