order_id,product_id,product_name,category,customer_name,city,phone_number,country_code,payment_mode,amount,quantity,order_date
ORD0001,PRD011,Resistance Bands,Sports,Sneha Gupta,Mumbai,8906402157,IN,Wallet,2894.29,2,2024-03-12
ORD0002,PRD012,Vitamin C Tablets,Health,Gaurav Malhotra,Jaipur,9czz11xyc2,IN,UPI,5985.83,1,2024-01-16
ORD0003,PRD013,Denim Jacket,Apparel,Meera Bhatt,Bangalore,9279182318,IN,Wallet,4340.62,3,21/06/2024
ORD0004,PRD002,Wireless Earbuds,Electronics,Rohit Sharma,Kolkata,6186618211,IN,UPI,3717.0,3,2024-11-05
ORD0005,PRD012,Vitamin C Tablets,Health,Amit Kumar,Jaipur,9562265906,IN,UPI,9735.53,4,2024-02-10
ORD0006,PRD011,Resistance Bands,Sports,Aisha Khan,Pune,9320303242,IN,Net Banking,2083.43,1,2024-01-24
ORD0007,PRD005,Running Shoes,Footwear,Rohit Sharma,Hyderabad,6698594025,IN,UPI,3924.24,4,2024-11-21
ORD0008,PRD006,Stainless Steel Bottle,Kitchen,Neha Agarwal,Hyderabad,8294113287,IN,Wallet,2815.38,1,2024-11-07
ORD0009,PRD012,Vitamin C Tablets,Health,Pooja Reddy,Bangalore,9620021413,IN,Cash,3917.66,5,2024-04-22
ORD0010,PRD013,Denim Jacket,Apparel,Vivek Pandey,Mumbai,6906164396,IN,Credit Card,8252.67,3,2024-07-24
ORD0011,PRD015,Non-stick Pan,Kitchen,Manish Tiwari,Pune,7970753705,IN,Credit Card,6622.3,4,2025-03-28
ORD0012,PRD003,Yoga Mat,Sports,Arjun Nair,Bangalore,7840109255,IN,Credit Card,7499.89,5,2024-05-14
ORD0013,PRD015,Non-stick Pan,Kitchen,Manish Tiwari,Kolkata,9246059658,IN,Debit Card,2348.34,2,2024-09-17
ORD0014,PRD001,Cotton Kurti,Apparel,Riya Chopra,Delhi,6502509,IN,Credit Card,6347.97,4,2024-11-01
ORD0015,PRD010,Smart Watch,Electronics,Amit Kumar,Jaipur,8927923735,IN,Debit Card,9715.57,1,2024-12-14
ORD0016,PRD015,Non-stick Pan,Kitchen,Shreya Das,Chennai,,IN,Wallet,3532.72,3,2024-08-10
ORD0017,PRD001,Cotton Kurti,Apparel,Sunita Desai,Chennai,7281810600,IN,Net Banking,7666.23,5,2024-02-24
ORD0018,PRD014,Bluetooth Speaker,Electronics,Suresh Pillai,Jaipur,,IN,Net Banking,2148.33,3,2025-01-25
ORD0019,PRD013,Denim Jacket,Apparel,Sana Mirza,Jaipur,9x32ccza12,IN,UPI,6068.66,4,2024-01-10
ORD0020,PRD013,Denim Jacket,Apparel,Shreya Das,Bangalore,9747071386,IN,Credit Card,6664.56,5,2024-03-25
ORD0021,PRD010,Smart Watch,Electronics,Kavya Menon,Hyderabad,8884873529,IN,Net Banking,7600.6,2,2024-12-31
ORD0022,PRD011,Resistance Bands,Sports,Neha Agarwal,Ahmedabad,452896,IN,Net Banking,4623.56,2,2024-04-25
ORD0023,PRD010,Smart Watch,Electronics,Shreya Das,Hyderabad,6983297492,IN,Net Banking,2357.13,1,2024-12-28
ORD0024,PRD002,Wireless Earbuds,Electronics,Gaurav Malhotra,Mumbai,6920140090,IN,Debit Card,893.4,2,2024-05-22
ORD0025,PRD009,Silk Saree,Apparel,Vikram Singh,Surat,6405126228,IN,Net Banking,4831.18,4,2025-02-17
ORD0026,PRD002,Wireless Earbuds,Electronics,Deepa Nambiar,Kolkata,8892078691,IN,Debit Card,4350.07,4,2025-03-18
ORD0027,PRD011,Resistance Bands,Sports,Suresh Pillai,Delhi,7067970820,IN,UPI,4144.69,3,2025-02-13
ORD0028,PRD004,Face Serum,Beauty,Karan Mehta,Jaipur,9755888575,IN,Cash,1572.79,2,2024-05-22
ORD0029,PRD015,Non-stick Pan,Kitchen,Rohit Sharma,Ahmedabad,1664689,IN,Net Banking,1158.51,5,2025-03-04
ORD0030,PRD015,Non-stick Pan,Kitchen,Vivek Pandey,Hyderabad,9875962612,IN,Credit Card,4181.86,4,2024-04-19
ORD0031,PRD001,Cotton Kurti,Apparel,Ananya Iyer,Kolkata,7225136114,IN,UPI,9855.03,3,2025-02-05
ORD0032,PRD007,Laptop Bag,Accessories,Rajesh Kulkarni,Jaipur,6251183830,IN,Wallet,7239.4,2,2024-04-07
ORD0033,PRD010,Smart Watch,Electronics,Sunita Desai,Jaipur,8159725924,IN,UPI,7529.16,1,2024-01-26
ORD0034,PRD015,Non-stick Pan,Kitchen,Riya Chopra,Jaipur,6294296873,IN,Credit Card,756.42,5,2024-02-11
ORD0035,PRD010,Smart Watch,Electronics,Rohit Sharma,Hyderabad,6170689150,IN,Cash,1373.89,5,2024-05-06
ORD0036,PRD010,Smart Watch,Electronics,Rohit Sharma,Kolkata,6877286584,IN,Wallet,5918.99,5,2024-06-10
ORD0037,PRD011,Resistance Bands,Sports,Rajesh Kulkarni,Pune,7963764597,IN,Credit Card,2802.02,2,2024-12-09
ORD0038,PRD006,Stainless Steel Bottle,Kitchen,Sana Mirza,Delhi,3676135,IN,UPI,4690.2,5,2024-02-21
ORD0039,PRD009,Silk Saree,Apparel,Arjun Nair,Bangalore,7881988384,IN,Debit Card,8831.47,2,2024-07-08
ORD0040,PRD014,Bluetooth Speaker,Electronics,Shreya Das,Chennai,8381998678,IN,Net Banking,9840.76,5,2024-01-05
ORD0041,PRD005,Running Shoes,Footwear,Sana Mirza,Delhi,7169726681,IN,Credit Card,2790.77,1,2025-01-15
ORD0042,PRD005,Running Shoes,Footwear,Aisha Khan,Hyderabad,9888390599,IN,Wallet,3559.23,3,2024-09-15
ORD0043,PRD015,Non-stick Pan,Kitchen,Riya Chopra,Mumbai,2294789,IN,UPI,6414.99,3,2024-01-23
ORD0044,PRD011,Resistance Bands,Sports,Arjun Nair,Bangalore,1362382,IN,Wallet,4528.99,4,2024-10-14
ORD0045,PRD015,Non-stick Pan,Kitchen,Rajesh Kulkarni,Bangalore,7845919895,IN,Net Banking,552.08,3,2024-10-25
ORD0046,PRD003,Yoga Mat,Sports,Priya Patel,Chennai,7071722055,IN,Debit Card,9009.02,1,07/12/2024
ORD0047,PRD002,Wireless Earbuds,Electronics,Neha Agarwal,Jaipur,9435488617,IN,Cash,9742.6,2,2024-05-01
ORD0048,PRD013,Denim Jacket,Apparel,Ananya Iyer,Kolkata,9445573666,IN,UPI,1956.73,3,2025-02-04
ORD0049,PRD011,Resistance Bands,Sports,Riya Chopra,Hyderabad,9687629943,IN,Debit Card,1759.14,1,2024-07-14
ORD0050,PRD008,Protein Powder,Health,Pooja Reddy,Hyderabad,3340180,IN,Cash,3625.65,2,2024-04-24
ORD0051,PRD007,Laptop Bag,Accessories,Rahul Verma,Chennai,7716605598,IN,UPI,9674.51,3,2024-06-28
ORD0052,,Resistance Bands,Sports,Aditya Saxena,Jaipur,6766942939,IN,Debit Card,9403.52,1,2025-03-25
ORD0053,PRD010,Smart Watch,Electronics,Arjun Nair,Mumbai,7874297457,IN,UPI,6045.4,3,2025-01-08
ORD0054,PRD010,Smart Watch,Electronics,Nikhil Rao,Delhi,7415831,IN,Cash,9014.15,2,2024-05-10
ORD0055,PRD001,Cotton Kurti,Apparel,Nikhil Rao,Jaipur,8852879124,IN,Wallet,7249.41,2,2024-07-05
ORD0056,PRD015,Non-stick Pan,Kitchen,Rahul Verma,Surat,8178074590,IN,Debit Card,6700.2,1,2025-01-03
ORD0057,PRD005,Running Shoes,Footwear,Deepa Nambiar,Kolkata,9x313zcyac,IN,Debit Card,4142.52,3,2024-10-10
ORD0058,PRD007,Laptop Bag,Accessories,Meera Bhatt,Surat,6917840538,IN,Net Banking,6615.12,4,2024-08-14
ORD0059,PRD009,Silk Saree,Apparel,Ritika Bose,Bangalore,7439622619,IN,Wallet,1030.0,5,2024-12-05
ORD0060,PRD002,Wireless Earbuds,Electronics,Aditya Saxena,Hyderabad,4207776,IN,Wallet,3241.11,2,2024-03-16
ORD0061,PRD008,Protein Powder,Health,Aisha Khan,Delhi,7649174966,IN,Cash,4260.52,5,2024-04-09
ORD0062,PRD008,Protein Powder,Health,Siddharth Roy,Hyderabad,9803044105,IN,Credit Card,6628.37,1,2025-01-19
ORD0063,PRD002,Wireless Earbuds,Electronics,Vivek Pandey,Kolkata,4280853,IN,Credit Card,1922.69,5,2024-08-25
ORD0064,PRD015,Non-stick Pan,Kitchen,Riya Chopra,Delhi,8400565848,IN,Cash,1505.72,4,2024-12-07
ORD0065,PRD010,Smart Watch,Electronics,Rahul Verma,Ahmedabad,8353092123,IN,Net Banking,8186.06,5,2024-08-06
ORD0066,PRD008,Protein Powder,Health,Gaurav Malhotra,Bangalore,9607183629,IN,Wallet,8641.65,4,2024-05-12
ORD0067,PRD011,Resistance Bands,Sports,Arjun Nair,Jaipur,4893722,IN,Cash,6341.13,3,2024-08-13
ORD0068,PRD004,Face Serum,Beauty,Arjun Nair,Pune,,IN,Debit Card,8950.66,1,2024-03-11
ORD0069,PRD007,Laptop Bag,Accessories,Rajesh Kulkarni,Bangalore,8001129658,IN,Wallet,2295.74,4,2024-07-27
ORD0070,PRD007,Laptop Bag,Accessories,Priya Patel,Hyderabad,9758481,IN,Cash,4015.87,5,2024-12-22
ORD0071,PRD007,Laptop Bag,Accessories,Ritika Bose,Mumbai,9589427315,IN,Debit Card,3125.4,4,2025-03-12
ORD0072,PRD007,Laptop Bag,Accessories,Shreya Das,Jaipur,8085816511,IN,Net Banking,8997.55,4,2024-04-22
ORD0073,PRD001,Cotton Kurti,Apparel,Siddharth Roy,Pune,,IN,Wallet,6854.59,4,2025-01-05
ORD0074,PRD008,Protein Powder,Health,Sana Mirza,Bangalore,6116402431,IN,Net Banking,5433.41,4,2024-10-30
ORD0075,PRD002,Wireless Earbuds,Electronics,Suresh Pillai,Kolkata,7405969000,IN,Credit Card,8694.14,2,2024-01-26
ORD0076,PRD004,Face Serum,Beauty,Amit Kumar,Pune,9573087602,IN,Debit Card,7659.05,4,2024-05-22
ORD0077,,Laptop Bag,Accessories,Arjun Nair,Delhi,7503068227,IN,Cash,388.96,5,2024-01-27
